,0,1,2,3,4,5
0,379644.0,3026.0,3655.0,1.0,10276.0,2882.0
1,26469.0,407.0,53.0,26783.0,126118.0,2642.0
2,128390.0,121800.0,112.0,560.0,187818.0,2339.0
3,26959.0,29.0,2.0,2873.0,13038.0,2055.0
4,79441.0,81747.0,47.0,13405.0,73656.0,2504.0
5,29707.0,2426.0,33.0,0.0,542.0,2561.0
6,106494.0,960.0,307.0,0.0,81726.0,3355.0
7,82699.0,11.0,380.0,23.0,37055.0,3027.0
8,211406.0,11917.0,1731.0,20147.0,372464.0,4044.0
9,259264.0,70.0,1324.0,2534.0,70589.0,2888.0
10,102515.0,39104.0,234.0,40.0,168240.0,2132.0
11,118945.0,47308.0,1993.0,10418.0,10539.0,3657.0
12,80487.0,36498.0,190.0,455.0,42975.0,2414.0
13,99080.0,8628.0,118.0,1489.0,165400.0,2876.0
14,23927.0,945.0,5.0,4.0,10298.0,2334.0
15,374841.0,54.0,388.0,137.0,89712.0,2805.0
16,117555.0,118446.0,62.0,6334.0,222147.0,2366.0
17,207264.0,71.0,454.0,1771.0,108622.0,2816.0
18,169155.0,1814.0,303.0,1356.0,142432.0,3890.0
19,418490.0,37134.0,507.0,6337.0,337953.0,2599.0
20,87083.0,734.0,302.0,146.0,47479.0,3618.0
21,98727.0,85304.0,1571.0,0.0,171657.0,3284.0
22,104265.0,95030.0,1870.0,7207.0,310848.0,3296.0
23,109487.0,86630.0,437.0,185.0,430775.0,2795.0
24,95993.0,104849.0,1901.0,50.0,98892.0,3733.0
25,129986.0,16934.0,1092.0,2306.0,89914.0,3797.0
26,103083.0,16.0,122.0,94.0,51526.0,2171.0
27,183492.0,99628.0,80.0,1306.0,84747.0,1964.0
28,74.0,3.0,0.0,4.0,19.0,1465.0
29,116106.0,2.0,8605.0,0.0,68635.0,3784.0
30,24856.0,9614.0,60.0,25.0,129381.0,2756.0
31,85106.0,82036.0,196.0,289.0,155451.0,3281.0
32,71044.0,1089.0,328.0,15593.0,81016.0,2463.0
33,169154.0,816.0,1071.0,25870.0,139122.0,2926.0
34,128442.0,149658.0,107.0,7472.0,162404.0,2289.0
35,30717.0,336.0,26.0,69991.0,100180.0,1695.0
36,76102.0,1792.0,35.0,78.0,39858.0,2403.0
37,1.0,60.0,0.0,0.0,0.0,894.0
38,113867.0,3138.0,622.0,6747.0,71680.0,2775.0
39,43653.0,96.0,45.0,26.0,27628.0,2341.0
40,93408.0,102467.0,756.0,5536.0,452556.0,1868.0
41,71304.0,9827.0,296.0,24498.0,199690.0,1547.0
42,86838.0,54089.0,136.0,758.0,107251.0,2763.0
43,460.0,1.0,11.0,0.0,1.0,984.0
44,125190.0,130858.0,223.0,8580.0,87168.0,2520.0
45,157870.0,1079.0,2906.0,5434.0,328358.0,4208.0
46,263953.0,319.0,514.0,1991.0,320783.0,3297.0
47,210141.0,107.0,505.0,1600.0,139914.0,3834.0
48,237285.0,2043.0,167.0,8471.0,615030.0,3383.0
49,142316.0,109905.0,21.0,4.0,692808.0,2777.0
50,137516.0,1598.0,289.0,1311.0,104937.0,3087.0
51,637015.0,302.0,2125.0,108403.0,41660.0,1759.0
52,236638.0,5171.0,3288.0,2936.0,138549.0,3001.0
53,130859.0,5543.0,2881.0,317.0,192959.0,2747.0
54,123458.0,92.0,324.0,123091.0,170325.0,2194.0
55,94179.0,17372.0,34.0,25.0,67784.0,3398.0
56,17027.0,600.0,103.0,24876.0,225049.0,3643.0
57,31903.0,29.0,228.0,19392.0,225521.0,2228.0
58,74474.0,84891.0,48.0,137.0,17453.0,2061.0
59,116493.0,0.0,1619.0,34.0,21552.0,3886.0
60,101228.0,1965.0,593.0,2605.0,172816.0,3815.0
61,88655.0,71985.0,109.0,853.0,96879.0,2830.0
62,112110.0,3066.0,1499.0,3540.0,22612.0,3961.0
63,134665.0,0.0,264.0,167.0,367445.0,2583.0
64,3.0,0.0,0.0,0.0,0.0,1132.0
65,40967.0,248.0,29.0,492.0,17945.0,2417.0
66,87442.0,72.0,505.0,41.0,70129.0,3486.0
67,50858.0,39825.0,385.0,15899.0,161775.0,3213.0
68,118848.0,2286.0,297.0,4.0,180700.0,3229.0
69,163578.0,536.0,2697.0,1969.0,216794.0,3562.0
70,68834.0,1798.0,45.0,2244.0,11519.0,2724.0
71,111839.0,25608.0,864.0,12401.0,79152.0,2696.0
72,86588.0,8.0,87.0,13.0,40.0,2612.0
73,78684.0,67785.0,1079.0,3.0,777372.0,3255.0
74,22768.0,6809.0,101.0,835.0,37611.0,2661.0
75,124082.0,4383.0,441.0,808.0,259998.0,3381.0
76,63820.0,139.0,239.0,10272.0,92602.0,2341.0
77,19751.0,219.0,27.0,1.0,244935.0,2524.0
78,109914.0,11.0,1221.0,2.0,101207.0,3557.0
79,78656.0,26340.0,172.0,252.0,82186.0,2790.0
80,104853.0,108870.0,139.0,26063.0,151305.0,3104.0
81,182182.0,3.0,972.0,0.0,85594.0,2141.0
82,99392.0,55174.0,302.0,2.0,187171.0,2888.0
83,116154.0,53732.0,190.0,38.0,52705.0,2375.0
84,210957.0,16659.0,725.0,238.0,59378.0,3291.0
85,90606.0,59449.0,1439.0,7898.0,35952.0,3150.0
86,85004.0,77297.0,646.0,357.0,929623.0,2798.0
87,200653.0,74112.0,429.0,1520.0,206483.0,2639.0
88,111580.0,102625.0,1722.0,2.0,197410.0,3873.0
89,117017.0,118892.0,75.0,78.0,35305.0,2686.0
90,88310.0,94074.0,109.0,387.0,91291.0,2984.0
91,82915.0,60705.0,675.0,7771.0,59206.0,3597.0
92,188324.0,231.0,1162.0,11054.0,154865.0,4709.0
93,127657.0,16946.0,1765.0,3124.0,31589.0,4279.0
94,192577.0,8669.0,2243.0,6549.0,86794.0,3944.0
95,246044.0,11.0,484.0,21.0,248664.0,4234.0
96,197.0,6.0,5.0,1.0,4.0,1005.0
97,93857.0,1859.0,260.0,98.0,64674.0,3530.0
98,331310.0,88.0,1112.0,773.0,21150.0,3513.0
99,123130.0,3172.0,738.0,4387.0,1602157.0,3871.0
100,41290.0,1407.0,5.0,3674.0,30842.0,1447.0
101,107535.0,6412.0,1974.0,5400.0,62472.0,3981.0
102,116455.0,415.0,310.0,237.0,124996.0,3102.0
103,121962.0,391.0,845.0,66.0,272500.0,3682.0
104,115173.0,10613.0,297.0,7731.0,24851.0,3251.0
105,92948.0,98566.0,3338.0,847.0,123615.0,3916.0
106,140793.0,300.0,428.0,20605.0,28788.0,2050.0
107,62900.0,720.0,339.0,8847.0,18815.0,3405.0
108,0.0,0.0,0.0,0.0,0.0,604.0
109,97680.0,289.0,385.0,69.0,8429.0,3009.0
110,30356.0,67.0,0.0,117.0,534038.0,2590.0
111,89588.0,77368.0,654.0,6.0,987830.0,3180.0
112,108382.0,1860.0,786.0,2484.0,128759.0,3926.0
113,138407.0,13.0,187.0,954.0,60621.0,2754.0
114,88553.0,87194.0,665.0,6075.0,22879.0,2534.0
115,102258.0,12063.0,523.0,32256.0,176909.0,3919.0
116,101322.0,1749.0,630.0,102.0,119410.0,3823.0
117,115359.0,89870.0,1954.0,22176.0,24532.0,2643.0
118,14631.0,860.0,273.0,2512.0,25498.0,2451.0
119,74927.0,10903.0,3986.0,13907.0,867.0,4248.0
120,115672.0,53481.0,1493.0,22252.0,197796.0,3913.0
121,111534.0,97742.0,3340.0,15.0,116733.0,4000.0
122,81545.0,20098.0,127.0,255.0,9220.0,3419.0
